Дата,Время,Логин,Образ,connectedDATA,connectedTIME,МинутОтConnected,,
03-12-20,8:13:45,ln2.rosenergoatom.ru\LN2\dsl2-kvv,ln2-vdi-astra,03-12-20,8:13:17,0,LN2\dsl2-kvv,dsl2-kvv
03-12-20,8:25:51,ln2.rosenergoatom.ru\LN2\dsl2-kvv,ln2-vdi-astra,03-12-20,8:13:17,12,LN2\dsl2-kvv,dsl2-kvv
03-12-20,10:37:32,ln2.rosenergoatom.ru\LN2\dsl2-nes,ln2-vdi-astra,03-12-20,10:37:09,0,LN2\dsl2-nes,dsl2-nes
03-12-20,11:17:30,ln2.rosenergoatom.ru\LN2\dsl2-nes,ln2-vdi-astra,03-12-20,10:37:09,40,LN2\dsl2-nes,dsl2-nes
03-12-20,11:38:37,ln2.rosenergoatom.ru\LN2\dsl2-kvv,ln2-vdi-astra,03-12-20,8:13:17,205,LN2\dsl2-kvv,dsl2-kvv
03-12-20,11:46:21,ln2.rosenergoatom.ru\LN2\varlamov-av,ln2-vdi-astra,03-12-20,11:32:20,14,LN2\varlamov-av,varlamov-av
03-12-20,12:02:28,ln2.rosenergoatom.ru\LN2\varlamov-av,ln2-vdi-astra,03-12-20,11:32:20,30,LN2\varlamov-av,varlamov-av
03-12-20,13:00:38,ln2.rosenergoatom.ru\LN2\dsl2-sag,ln2-vdi-astra,03-12-20,13:00:14,0,LN2\dsl2-sag,dsl2-sag
03-12-20,13:01:48,ln2.rosenergoatom.ru\LN2\dsl2-sag,ln2-vdi-astra,03-12-20,13:00:14,1,LN2\dsl2-sag,dsl2-sag
03-12-20,13:35:23,ln2.rosenergoatom.ru\LN2\dsl2-kvv,ln2-vdi-astra,03-12-20,8:13:17,322,LN2\dsl2-kvv,dsl2-kvv
03-12-20,13:53:43,ln2.rosenergoatom.ru\LN2\dsl2-nes,ln2-vdi-astra,03-12-20,10:37:09,196,LN2\dsl2-nes,dsl2-nes
03-12-20,15:10:33,ln2.rosenergoatom.ru\LN2\dsl2-nes,ln2-vdi-astra,03-12-20,10:37:09,273,LN2\dsl2-nes,dsl2-nes
03-12-20,15:38:56,ln2.rosenergoatom.ru\LN2\dsl2-kvv,ln2-vdi-astra,03-12-20,8:13:17,445,LN2\dsl2-kvv,dsl2-kvv
03-12-20,16:02:43,ln2.rosenergoatom.ru\LN2\varlamov-av,ln2-vdi-astra,03-12-20,11:32:20,270,LN2\varlamov-av,varlamov-av
03-12-20,16:09:56,ln2.rosenergoatom.ru\LN2\dsl2-nes,ln2-vdi-astra,03-12-20,10:37:09,332,LN2\dsl2-nes,dsl2-nes
03-12-20,17:02:03,ln2.rosenergoatom.ru\LN2\dsl2-sag,ln2-vdi-astra,03-12-20,13:00:14,241,LN2\dsl2-sag,dsl2-sag
03-12-20,20:12:58,ln2.rosenergoatom.ru\LN2\dsl2-kvv,ln2-vdi-astra,03-12-20,8:13:17,719,LN2\dsl2-kvv,dsl2-kvv
03-12-20,12:05:57,ln.rosenergoatom.ru\LN2\mokrousov-vv,ln-vdi-astra,03-12-20,11:55:50,10,LN2\mokrousov-vv,mokrousov-vv
