Дата,Время,Логин,Образ,connectedDATA,connectedTIME,МинутОтConnected,,
03-12-20,9:02:56,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,8:59:57,2,asp-adr,
03-12-20,9:02:57,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,8:59:57,3,asp-adr,
03-12-20,9:03:08,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,8:59:57,3,asp-adr,
03-12-20,9:03:12,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,8:59:57,3,asp-adr,
03-12-20,9:40:49,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,8:59:57,40,asp-adr,
03-12-20,13:32:42,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,13:32:13,0,asp-adr,
03-12-20,13:44:49,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,13:32:13,12,asp-adr,
03-12-20,17:09:50,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,13:32:13,217,asp-adr,
03-12-20,17:22:00,ln.rosenergoatom.ru\asp-adr,ln-vdi-astra,03-12-20,13:32:13,229,asp-adr,
03-12-20,16:33:19,ln.rosenergoatom.ru\asp-bsa,ln-vdi-astra,03-12-20,16:32:35,0,asp-bsa,
03-12-20,16:38:31,ln.rosenergoatom.ru\asp-bsa,ln-vdi-astra,03-12-20,16:32:35,5,asp-bsa,
03-12-20,20:23:00,ln.rosenergoatom.ru\asp-bsa,ln-vdi-astra,03-12-20,16:32:35,230,asp-bsa,
03-12-20,8:02:02,ln.rosenergoatom.ru\asp-bsg,ln-vdi-astra,03-12-20,8:01:15,0,asp-bsg,
03-12-20,8:02:08,ln.rosenergoatom.ru\asp-bsg,ln-vdi-astra,03-12-20,8:01:15,0,asp-bsg,
03-12-20,10:09:44,ln.rosenergoatom.ru\asp-bsg,ln-vdi-astra,03-12-20,10:09:17,0,asp-bsg,
03-12-20,11:02:33,ln.rosenergoatom.ru\asp-bsg,ln-vdi-astra,03-12-20,10:09:17,53,asp-bsg,
